##########################################################
#
# Helmet Mod by Junior_Djjr - MixMods.com.br
#
# Você pode recarregar este arquivo digitando "HTRL" como um cheat.
# Digite "TESTHELMET" para ativar o modo de teste (todos os peds com capacete).
#
#############################
# Configurações de capacetes
# Descrição: escolher estilo e uso de cada capacete
# A - ID do capacete, máximo 50 (também ID da textura)
# B - ID do DFF (helmetmod_*.dff)
# C - Tipo de moto:
#     0 - É comum (para PCJ-600, BF-400 etc (padrão))
#     1 - É motocross (para Sanchez)
#     2 - É policial (para HPV-1000)
#     3 - É chopper (para Freeway) 
#     4 - É especial (para uso personalizado)
# D - Gênero:
#     0 - Qualquer gênero
#     1 - Somente feminino
# E - Estilo:
#     0 - Qualquer estilo
#     1 - Somente jovens

#A B  C D E
helmets
1  1  0 0 0
2  1  0 0 0
3  1  0 0 1
4  1  0 1 0
5  1  0 1 0
6  1  0 0 0
7  1  0 0 0
8  1  0 1 1
9  1  0 0 1
10 1  0 0 1
11 1  0 0 0
12 1  0 0 1
13 2  1 0 1
14 2  1 0 1
15 2  1 1 1
end

#############################
# Configurações de motos
# Descrição: escolher quais modelos de motos são cada estilo
# A - Tipo de moto:
#     0 - Usar comum (não use aqui, é o padrão para outras motos)
#     1 - Usar motocross (para Sanchez, mas o comum também é usado)
#     2 - Usar policial (para HPV-1000)
#     3 - Usar chopper (para Freeway) 
#     4 - Usar special
# B - Modelos:
#     Liste no máximo 10 IDs de modelos de motos aqui (veja vehicles.ide)
#     Por exemplo, se você quer a Wayfarer (586) usando capacetes da Sanchez (468), edite a linha "1 468" para "1 468 586"
#     É compatível com motos adicionadas sem substituir.

#A B

bikes
1 468
2 523
3 463
end

#############################
# Configurações de modelos
# Descrição: escolher posição e tamanho para cada modelo de pessoa
# A - ID do modelo do ped (veja peds.ide, Skin Selector, gtagmodding.com/sanandreas/peds/ etc)
# B - Altura
# C - Frente
# D - Tamanho (deixe "0.0" para desativar o capacete)
# Nota: modelos de capacete são selecionados aleatoriamente com base em ped pedtype e pedstats (na linha de peds.ide)
# Nota: tente preservar a ordem dos IDs de menor para maior

#A   B     C     D

models
0    0.15  0.0   0.93  # CJ
121  0.0   0.0   1.03
122  0.0   0.0   1.03
123  0.0   0.0   1.05
124  0.05  0.05  1.05
125  0.05  0.0   1.0
126  0.03  0.0   1.03
127  0.03  0.0   1.03
128  0.07  0.2   1.07
129  0.0   0.0   0.95
130  -0.3  0.15  0.95
131  0.0   0.1   0.95
132  -0.5  0.0   0.9
133  0.05  0.2   1.04
134  0.1  -0.1   0.93
135  -0.1  0.0   1.03
136  0.0   0.0   0.95
137  0.0   0.0   0.0
138  -0.05 0.0   1.0
139  -0.05 0.0   1.0
140  0.0   0.0   0.0
141  -0.05 0.0   1.0
143  0.0   0.0   0.0
144  0.1   0.0   1.1
146  0.05  0.0   1.0
150  0.0   -0.05 1.03
151  0.0   0.0   1.1
152  0.0   0.0   0.0
153  0.0   0.05  1.05
154  -0.1  0.0   0.95
155  0.0   0.0   0.0
156  0.0   0.0   1.08
157  -0.05 0.0   1.0
158  0.0   0.0   0.0
159  0.05  0.15  1.05
160  0.0   0.0   0.95
161  0.0   0.0   0.0
162  0.1   0.1   1.0
167  0.0   0.0   0.0
171  0.0   0.0   1.05
173  0.0   0.0   0.0
174  0.15  0.1   1.1
175  0.1   0.05  1.05
176  0.0   0.05  1.05
177  0.0   0.0   0.0
178  0.0   0.0   0.0
179  0.0   0.05  1.03
180  0.15  0.05  1.05
181  0.0   0.0   0.0
185  0.1   0.05  1.03
186  0.0   0.0   1.03
187  -0.1  -0.05 1.0
189  0.05  0.0   1.05
190  0.05  0.0   1.08
191  0.05  0.0   1.08
192  0.05  0.0   1.08
193  0.05  0.0   1.08
194  0.05  0.0   1.08
195  0.17  -0.13 1.08
196  0.1   0.0   0.95
198  0.0   0.0   0.0
200  0.0   0.0   1.05
201  0.0   0.25  1.05
202  0.15  0.22  1.0
205  0.0   0.0   0.0
206  0.1   0.1   1.0
207  -0.2  0.0   1.0
209  0.2   0.0   0.95
210  0.0   0.0   0.92
211  0.0   0.0   1.03
213  0.0   0.0   1.05
215  0.0   0.0   0.0
216  0.0   0.0   1.03
217  0.0   0.08  1.03
219  -0.05 0.0   1.0
220  -0.35 0.15  1.05
221  0.06  0.0   1.06
222  0.06  0.0   1.06
223  0.1   0.25  1.08
224  0.0   -0.05 1.0
225  0.0   -0.05 1.0
226  0.0   -0.1  1.0
227  0.15  0.1   1.0
228  0.1   0.1   1.05
229  0.0   0.0   0.93
230  -0.35 0.05  1.03
231  0.0   0.1   1.0
232  0.0   -0.1  0.97
233  0.0   0.0   1.03
234  0.0   -0.1  0.92
235  -0.2  -0.1  0.92
236  0.0   0.0   0.95
237  0.0   -0.05 0.95
238  0.0   0.05  1.0
239  0.28  0.08  1.0
240  0.05  0.0   1.03
241  0.0   0.0   0.0
243  -0.15 0.0   0.95
244  -0.2  0.2   1.0
245  0.0   0.06  1.1
246  0.0   0.0   0.0
247  0.05  0.0   1.05
248  0.0   0.0   0.0
249  0.0   0.0   0.0
250  0.0   0.1   1.0
251  0.0   0.05  1.0
252  0.1   0.0   1.02
253  0.1   0.05  1.0
254  0.05  0.05  1.05
255  0.0   0.0   0.0
256  0.0   0.0   0.0
257  0.0   0.1   1.05
258  0.0   0.05  1.05
259  0.0   0.05  1.05
260  0.0   0.0   1.0
261  0.1   0.05  1.0
262  -0.1  0.05  1.0
264  0.0   0.0   0.0
274  0.05  0.0   0.97
275  0.05  0.0   0.97
276  0.05  0.0   0.97
277  0.0   0.0   0.0
278  0.0   0.0   0.0
279  0.0   0.0   0.0
280  0.07  0.0   0.97
281  0.07  0.0   0.97
282  0.1   0.07  0.97
283  0.0   0.0   0.0
284  0.0   0.0   0.0
285  0.0   0.0   0.0
286  0.15  0.0   0.97
287  0.0   0.0   0.0
288  0.0   0.0   0.0
end



#############################
# Configurações de jogadores
# Descrição: escolher capacetes padrões para os players
# A - ID do Player ID ('0' é CJ, '1' é o segundo jogador coop)
# B - Capacete padrão comum
# C - Capacete padrão motocross
# D - Capacete padrão policial
# E - Capacete padrão chopper
# F - Capacete padrão especial

#A  B  C  D  E  F

players
0   1  14 1  1  1  # CJ
1   2  13 2  2  2  # Segundo jogador coop
end
